订单号,客户,板件条码,板件备注,项目地址,房间,厚度,材质,高光板,颜色,板件名称,成品长度,成品宽度,数量,纹理,前封边,后封边,左封边,右封边,门板
250704-989,朗力,	7515996613101,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_左立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613132,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_右立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613163,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_顶板01,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613217,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板03,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613309,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板02,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613446,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_右立板02,486,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613514,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_左立板02,486,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613750,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_踢脚线01_踢脚线前挡板01,60,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613767,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_踢脚线01_踢脚线后挡板01,60,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613736,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_底板01,564,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613828,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_背板01,1268,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613859,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_横隔板01,564,482,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613934,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_背板02,450,564,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613972,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉面板01,186,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613989,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613996,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614009,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614016,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996613958,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉04_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614252,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614269,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614276,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614283,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614290,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614238,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉03_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614436,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614443,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614450,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614467,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614474,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614412,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉02_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614580,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉面板01,184,561,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614597,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽盒前板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614603,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉右板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614610,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉左板01,140,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614627,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉后板01,112,515,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996614566,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_抽屉01_抽屉底板01,515,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615594,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_收口条01_L收口辅板01,1850,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615600,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_收口条01_L收口面板01,1850,30,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535383695,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_收口条02_L收口辅板01,1328,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535383701,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_柜A_收口条02_L收口面板01,40,1328,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615655,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_顶板01,972,874,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615662,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_底板01,972,874,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615679,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_右立板01,1364,874,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615693,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_活动层板02,972,856,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615709,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_活动层板01,972,856,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615761,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_竖隔板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7515996615778,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_左立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535380984,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_圆弧踢脚线第1块01,60,936,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535380991,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_圆弧踢脚线第2块01,60,490,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381004,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_圆弧踢脚线第3块01,60,392,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381011,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_圆弧踢脚线第4块01,60,464,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385743,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_左立板01,60,452,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385798,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_踢脚线01_右立板01,60,826,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535380922,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜B_竖隔板02,1268,972,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381226,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_左立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381257,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_右立板01,1364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381288,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_顶板01,364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381400,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_踢脚线01_踢脚线前挡板01,60,364,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381417,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_踢脚线01_踢脚线后挡板01,60,364,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381387,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_底板01,364,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381691,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_背板01,1268,364,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381721,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_活动层板02,363,480,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535381776,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_活动层板01,363,480,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385422,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_收口条01_L收口辅板01,1850,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385439,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_地柜A_收口条01_L收口面板01,1850,30,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382124,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_顶板01,680,1236,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382131,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_底板01,990,1236,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382148,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_右立板01,300,1236,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382155,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_竖隔板01,486,990,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382230,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_竖隔板02,486,500,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535382247,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_左立板01,486,480,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535383305,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_切角板01,150,1236,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535383312,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_切角板02,310,1236,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385330,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_收口条01_L收口辅板01,822,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7518535385347,,水仙苑72号,B1储物柜,18,橡胶木,非高光板,雾松,B1储物柜_吊柜A_收口条01_L收口面板01,40,822,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655242,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_左立板01,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655273,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板01,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655310,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板02,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655372,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板03,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655419,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板04,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655471,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板05,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655518,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_右立板01,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655549,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_中立板06,1116,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655600,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_底板01,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655624,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_底板02,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655648,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_底板03,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655662,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_底板04,505,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655716,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_顶板01,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655730,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_顶板02,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655778,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_顶板03,505,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655822,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板03,1098,1046,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655853,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_横隔板01,1046,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422655945,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_横隔板02,505,372,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656027,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板05,526,1046,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656041,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板02,536,1046,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656065,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板06,526,505,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656089,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板04,536,505,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656102,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_背板01,1080,1046,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656133,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_活动层板04,1045,354,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656317,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_活动层板02,1045,352,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656423,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_活动层板03,1045,352,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422656478,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_活动层板01,1045,352,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422657116,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条02_L收口辅板01,2164,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422657123,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条02_L收口面板01,40,2164,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521946503446,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条03_L收口辅板01,1082,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521946503453,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条03_L收口面板01,40,1082,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422657529,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条01_L收口辅板01,1156,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521946503422,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条04_L收口辅板01,541,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521946503439,,水仙苑72号,1楼书柜,18,橡胶木,非高光板,雾松,1楼书柜_吊柜A_收口条04_L收口面板01,40,541,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659233,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_右立板01,615,280,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659288,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_左立板01,615,280,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659318,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_灯带50居前01,996,280,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659363,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_顶板01,996,280,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659417,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_中立板01,579,280,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659493,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_背板01,579,661,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659516,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_背板02,579,317,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659547,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_活动层板01,660,260,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659592,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_活动层板02,316,260,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659776,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_收口条03_L收口辅板01,1032,70,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7520422659783,,水仙苑72号,1楼餐边柜,18,橡胶木,非高光板,雾松,1楼餐边柜_吊柜A_收口条03_L收口面板01,40,1032,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847638,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_中立板05,2300,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847690,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_中立板04,2300,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847744,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_中立板03,2318,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847805,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_中立板02,2318,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847850,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_中立板01,2318,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847904,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_左立板01,400,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087847935,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_竖隔板01,400,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848017,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_顶板02,390,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848031,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_顶板03,807,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848154,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线01_踢脚线前挡板01,60,383,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848161,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线01_踢脚线后挡板01,60,383,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848130,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_底板01,383,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848215,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线02_踢脚线前挡板01,60,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848222,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线02_踢脚线后挡板01,60,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848192,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_底板02,390,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848277,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线03_踢脚线前挡板01,60,807,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848284,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_踢脚线03_踢脚线后挡板01,60,807,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848253,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_底板03,807,540,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848826,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_背板03,2222,807,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848840,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_背板02,2222,390,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848871,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_横隔板07,807,522,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848925,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_横隔板06,390,522,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087848949,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_横隔板04,807,522,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087849113,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_横隔板03,390,522,1,无纹理,1,1,1,1,非门板
250704-989,朗力,	7521087849373,,水仙苑72号,2楼北卧衣柜,18,橡胶木,非高光板,雾松,2楼北卧衣柜_柜A_横隔板01,383,540,1,无纹理,1,1,1,1,非门板
